key,english,placeholders,where_it_appears
err.accountStopped,This account has been stopped. Please contact support.,,Shopkeeper: account; Shopkeeper: catalog; Shopkeeper: customers
err.badRequest,Something in that was not right. Please check and try again.,,Shopkeeper: account; Shopkeeper: catalog; Shopkeeper: customers
err.conflict,That could not be done just now. Please try again.,,Shopkeeper: account; Shopkeeper: catalog; Shopkeeper: customers
err.generic,Something went wrong. Please try again.,,Shopkeeper: account; Shopkeeper: catalog; Shopkeeper: customers
err.notAllowed,You cannot open this.,,Shopkeeper: account; Shopkeeper: catalog; Shopkeeper: customers
err.notFound,That is not available any more.,,Shopkeeper: account; Shopkeeper: catalog; Shopkeeper: customers
err.offline,No internet right now. Check your connection and try again.,,Shopkeeper: account; Shopkeeper: catalog; Shopkeeper: customers
err.server,Something went wrong at our end. Please try again in a moment.,,Shopkeeper: account; Shopkeeper: catalog; Shopkeeper: customers
err.signInRejected,"That number, email or password is not right. Please check and try again.",,Shopkeeper: account; Shopkeeper: catalog; Shopkeeper: customers
err.signedOut,You have been signed out. Please sign in again.,,Shopkeeper: account; Shopkeeper: catalog; Shopkeeper: customers
err.slow,The network is too slow to finish that. Please try again.,,Shopkeeper: account; Shopkeeper: catalog; Shopkeeper: customers
err.suspended,This shop has been stopped by Smart Digital Khata. Please contact support.,,Shopkeeper: account; Shopkeeper: catalog; Shopkeeper: customers
err.tooMany,Too many tries. Please wait a minute and try again.,,Shopkeeper: account; Shopkeeper: catalog; Shopkeeper: customers
eta.accept,Accept,,Shopkeeper: orders
eta.chipHour,~{n} hour,{n},Shopkeeper: account; Shopkeeper: catalog; Shopkeeper: customers
eta.chipHourMin,~{h} hr {m} min,{h} {m},Shopkeeper: account; Shopkeeper: catalog; Shopkeeper: customers
eta.chipMin,~{n} min,{n},Shopkeeper: account; Shopkeeper: catalog; Shopkeeper: customers
eta.late,Past the time you promised,,Shopkeeper: orders; Shopkeeper: orders/[id]
eta.needMore,Need more time,,Shopkeeper: orders/[id]
eta.needMoreHelp,Pick a new time — the customer is told straight away.,,Shopkeeper: orders/[id]
eta.noPromise,No ready time promised,,Shopkeeper: orders/[id]
eta.noTime,Accept without a time,,Shopkeeper: account; Shopkeeper: catalog; Shopkeeper: customers
eta.notNow,Not now,,Shopkeeper: orders; Shopkeeper: orders/[id]
eta.pickTime,Ready in about…,,Shopkeeper: account; Shopkeeper: catalog; Shopkeeper: customers
eta.promisedBy,You promised ready by {time},{time},Shopkeeper: orders/[id]
eta.readyBy,Ready by {time},{time},Shopkeeper: account; Shopkeeper: catalog; Shopkeeper: customers
eta.sent,The customer has been told the new time.,,Shopkeeper: orders/[id]
