key,english,placeholders,where_it_appears
dist.accountSubtitle,How shops in your city find you.,,Shopkeeper: distributor/account
dist.accountTitle,My profile,,Shopkeeper: distributor/account
dist.activeOn,Active,,Shopkeeper: distributor/account
dist.activeToggle,Listed to shops,,Shopkeeper: distributor/account
dist.areYou,Are you a distributor? ,,Shopkeeper: login
dist.brand,Supplier,,Shopkeeper: distributor/account; Shopkeeper: distributor/demand; Shopkeeper: distributor/index
dist.brands,Brands,,Shopkeeper: distributor/account; Shopkeeper: distributor/register
dist.businessName,Business name,,Shopkeeper: distributor/account; Shopkeeper: distributor/register
dist.categories,Categories,,Shopkeeper: distributor/account; Shopkeeper: distributor/register
dist.confirm,Confirm order,,Shopkeeper: distributor/orders/[id]
dist.confirmed,Order confirmed.,,Shopkeeper: distributor/orders/[id]
dist.create,Create distributor account,,Shopkeeper: distributor/register
dist.deliver,Mark delivered,,Shopkeeper: distributor/orders/[id]
dist.deliverHint,Marking delivered posts this order to the shop’s ledger.,,Shopkeeper: distributor/orders/[id]
dist.delivered,Order marked delivered.,,Shopkeeper: distributor/orders/[id]
dist.dispatch,Mark dispatched,,Shopkeeper: distributor/orders/[id]
dist.dispatched,Order marked dispatched.,,Shopkeeper: distributor/orders/[id]
dist.email,Email (optional),,Shopkeeper: distributor/register
dist.empty,No purchase orders yet.,,Shopkeeper: distributor/index
dist.farmerBadge,🌾 Farmer,,Shopkeeper: distributor/account
dist.freshHint,"As a farmer, you sell Fresh Produce with no minimum order.",,Shopkeeper: distributor/register
dist.freshProduce,Fresh Produce,,Shopkeeper: distributor/register
dist.haveAccount,Already registered? ,,Shopkeeper: distributor/register
dist.iAm,I am a…,,Shopkeeper: distributor/register
dist.itemsN,{n} item{s},{n} {s},Shopkeeper: distributor/index
dist.kindDistributor,Distributor,,Shopkeeper: distributor/account; Shopkeeper: distributor/register
dist.kindFarmer,Farmer (Fresh Produce),,Shopkeeper: distributor/register
dist.listHint,Comma-separated.,,Shopkeeper: distributor/account; Shopkeeper: distributor/register
dist.minOrderRs,Minimum order (₹),,Shopkeeper: distributor/account
dist.navAccount,Account,,Shopkeeper: distributor/account; Shopkeeper: distributor/demand; Shopkeeper: distributor/index
dist.payAmountRs,Amount received (₹),,Shopkeeper: distributor/shops
dist.payFrom,Payment from {name},{name},Shopkeeper: distributor/shops
dist.payMethod,Method,,Shopkeeper: distributor/shops
dist.paySave,Save payment,,Shopkeeper: distributor/shops
dist.paySaved,Payment recorded.,,Shopkeeper: distributor/shops
dist.placedOn,Placed {when},{when},Shopkeeper: distributor/index
dist.priceFirst,Set a price on every item before confirming.,,Shopkeeper: distributor/orders/[id]
dist.pricesHint,Enter a unit price in ₹ for each item. The subtotal updates as you type.,,Shopkeeper: distributor/orders/[id]
dist.pricesSaved,Prices saved.,,Shopkeeper: distributor/orders/[id]
dist.recordPayment,Record payment,,Shopkeeper: distributor/shops
dist.registerCta,Register,,Shopkeeper: login
dist.registerSubtitle,List your business and start receiving orders from shops in your city.,,Shopkeeper: distributor/register
dist.registerTitle,Register as a distributor,,Shopkeeper: distributor/register
dist.savePrices,Save prices,,Shopkeeper: distributor/orders/[id]
dist.setPrices,Set your prices,,Shopkeeper: distributor/orders/[id]
dist.shopsEmpty,No shops trade with you yet.,,Shopkeeper: distributor/shops
dist.shopsSubtitle,Shops that order from you and what each owes.,,Shopkeeper: distributor/shops
dist.subtitle,"Purchase orders from shops. Price the items, confirm, and fulfil.",,Shopkeeper: distributor/index
dist.title,Incoming orders,,Shopkeeper: distributor/index
