key,english,placeholders,where_it_appears
acc.language,Language,,Shopkeeper: account; Shopkeeper: catalog; Shopkeeper: customers
ask.answer.credits,Your Khata Credits reward balance is ₹{amount}.,{amount},Shopkeeper: dashboard
ask.answer.custBalance,{name} owes you ₹{amount}.,{name} {amount},Shopkeeper: dashboard
ask.answer.custNotFound,I could not find that customer — please say the name again.,,Shopkeeper: dashboard
ask.answer.myPlan,Your current plan is {plan}.,{plan},Shopkeeper: dashboard
ask.answer.notAvailable,That is not available right now — please try again.,,Shopkeeper: dashboard
ask.answer.storeLink,Your store link is shown on screen.,,Shopkeeper: dashboard
ask.answer.weekSummary,This week you have collected ₹{amount}.,{amount},Shopkeeper: dashboard
c.addMoney,Add money / Pre-pay,,Shopper: khata
c.advanceLabel,Advance: {amt},{amt},Shopper: khata
c.buyItAgain,Buy it again,,Shopper: products
c.clearRecent,Clear,,Shopper: products
c.enterAmount,Enter an amount to pay.,,Shopper: khata
c.prepayHelper,"{due} clears your due, extra becomes advance",{due},Shopper: khata
c.prepayHelperNoDue,{amt} becomes an advance you can spend later,{amt},Shopper: khata
c.prepayMaxHint,You can pre-pay up to {amt} in advance,{amt},Shopper: khata
c.prepayTooMuch,You can pay at most {amt} right now.,{amt},Shopper: khata
c.recentSearches,Recent searches,,Shopper: products
c.settledLabel,Settled — nothing due,,Shopper: khata
c.shopByCategory,Shop by category,,Shopper: products
c.voiceIn,Listens in {language},{language},Shopper: products
c.youOwe,You owe {amt},{amt},Shopper: khata
cat.savePhoto,Save photo,,Shopkeeper: catalog
cat.uploadingPhoto,Uploading…,,Shopkeeper: catalog
coedit.cash,Pay {now} when you collect — {amount} of items were taken off.,{now} {amount},Shopper: orders/[id]
coedit.credit,{amount} has been taken off your khata at this shop.,{amount},Shopper: orders/[id]
coedit.intro,{shop} could not supply everything you ordered.,{shop},Shopper: orders/[id]
coedit.nowTotal,Your order now comes to {now}.,{now},Shopper: orders/[id]
coedit.prepaid,You had already paid. {amount} is kept as credit at this shop — it comes off your next order here.,{amount},Shopper: orders/[id]
coedit.reduced,{item} — {before} → {after},{item} {before} {after},Shopper: orders/[id]
coedit.removed,{item} — removed,{item},Shopper: orders/[id]
coedit.title,The shop adjusted your order,,Shopper: orders/[id]
coedit.wasSubtotal,Original items total {was},{was},Shopper: orders/[id]
common.refresh,Refresh,,Shopkeeper: catalog; Shopkeeper: customers; Shopkeeper: customers/[id]
common.retry,Try again,,Shopkeeper: catalog; Shopkeeper: customers; Shopkeeper: customers/[id]
credits.balanceLabel,Your Khata Credits,,Shopkeeper: account
credits.bySource,By source,,Shopkeeper: account
credits.earnedTitle,Earned so far,,Shopkeeper: account
credits.empty,No credits yet — refer a shop to start earning,,Shopkeeper: account
credits.kind.other,Adjustment,,Shopkeeper: account
credits.pending,{amt} pending,{amt},Shopkeeper: account
credits.recentTitle,Recent activity,,Shopkeeper: account
credits.spendNote,"Spend on your subscription, promos and more",,Shopkeeper: account
credits.title,Khata Credits,,Shopkeeper: account
err.accountStopped,This account has been stopped. Please contact support.,,Shopkeeper: account; Shopkeeper: catalog; Shopkeeper: customers
err.badRequest,Something in that was not right. Please check and try again.,,Shopkeeper: account; Shopkeeper: catalog; Shopkeeper: customers
err.conflict,That could not be done just now. Please try again.,,Shopkeeper: account; Shopkeeper: catalog; Shopkeeper: customers
err.generic,Something went wrong. Please try again.,,Shopkeeper: account; Shopkeeper: catalog; Shopkeeper: customers
err.notAllowed,You cannot open this.,,Shopkeeper: account; Shopkeeper: catalog; Shopkeeper: customers
err.notFound,That is not available any more.,,Shopkeeper: account; Shopkeeper: catalog; Shopkeeper: customers
